,Set20,Daalman,GO:0007163,GO:polarity,String full Cdc42,String physical Cdc42,String full Cdc42 Bem1 Cdc24,String physical Cdc42 Bem1 Cdc24
Act1,1,1,1,1,1,1,1,1
Afi1,0,0,1,1,0,0,0,0
Aim44,0,0,0,0,1,1,1,1
Air1,0,0,0,0,0,0,1,1
Arf3,0,0,1,1,0,0,0,0
Arp1,0,0,1,1,0,0,0,0
Arp10,0,0,1,1,0,0,0,0
Arp2,1,1,0,0,0,0,0,0
Arp3,1,1,0,0,0,0,0,0
Arp9,0,0,0,0,1,1,1,1
Atc1,0,0,1,1,0,0,0,0
Avo1,0,0,1,1,0,0,0,0
Avo2,0,0,1,1,0,0,0,0
Axl1,0,1,1,1,0,0,0,0
Axl2,1,1,1,1,1,1,1,1
Bag7,0,0,0,0,1,0,1,0
Bck1,0,0,1,1,0,0,0,0
Bem1,1,1,1,1,1,1,1,1
Bem2,0,1,0,0,1,1,1,1
Bem3,1,1,1,1,1,1,1,1
Bem4,0,0,1,1,1,1,1,1
Bfr1,0,0,0,0,1,0,1,0
Bik1,0,0,1,1,0,0,0,0
Bit61,0,0,1,1,0,0,0,0
Bmh1,0,0,0,0,1,0,1,0
Bmh2,0,0,0,0,1,0,1,0
Bni1,1,1,1,1,1,1,1,1
Boi1,0,0,0,0,1,1,1,1
Boi2,0,0,0,0,1,1,1,1
Bre1,0,0,0,0,1,1,1,1
Bud1,1,0,0,0,0,0,0,0
Bud14,0,0,1,1,0,0,0,0
Bud19,0,0,1,1,0,0,0,0
Bud2,0,1,1,1,0,0,0,0
Bud25,0,0,1,1,0,0,0,0
Bud26,0,0,1,1,0,0,0,0
Bud28,0,0,1,1,0,0,0,0
Bud3,1,1,1,1,0,0,0,0
Bud31,0,0,1,1,0,0,0,0
Bud32,0,0,1,1,0,0,0,0
Bud4,0,1,1,1,0,0,0,0
Bud5,0,1,1,1,0,0,0,0
Bud6,0,1,1,1,0,0,0,0
Bud7,0,0,1,1,0,0,0,0
Bud8,0,1,1,1,0,0,0,0
Bud9,0,1,1,1,0,0,0,0
Bzz1,0,0,0,0,1,0,1,0
Caf130,0,0,0,0,0,0,1,1
Cap1,0,0,0,0,1,0,1,0
Cap2,0,0,0,0,1,0,1,0
Cbk1,0,0,1,1,1,1,1,1
Cct2,0,0,0,0,1,1,1,1
Cct6,0,0,0,0,1,1,1,1
Cct7,0,0,0,0,1,1,1,1
Cdc11,0,0,0,0,0,0,1,1
Cdc12,0,0,1,1,0,0,0,0
Cdc24,1,1,1,1,1,1,1,1
Cdc28,1,1,0,0,0,0,0,0
Cdc37,0,0,0,0,1,0,1,0
Cdc42,1,1,1,1,1,1,1,1
Cdc43,0,0,0,0,1,0,1,0
Chc1,0,0,0,0,1,1,1,1
Chs5,0,0,1,1,0,0,0,0
Cir2,0,0,0,0,0,0,1,0
Cla4,1,1,1,1,1,1,1,1
Cln2,0,1,0,0,0,0,0,0
